Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages","All causes, by age (years), All Ages, flag","All causes, by age (years), GE 65","All causes, by age (years), GE 65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
"Sacramento, CA",2014,1,207,,147,,46,,7,,6,,1,,19,,"Sacramento, CA
(38.57933263300049, -121.49089596399972)",
"Worcester, MA",2014,1,78,,53,,20,,3,,1,,1,,11,,"Worcester, MA
(42.26341208400049, -71.80218873199965)",
"Canton, OH",2014,1,28,,21,,7,,,-,,-,,-,2,,"Canton, OH
(40.79781312300048, -81.37156644799967)",
"Buffalo, NY",2014,1,167,,113,,41,,9,,1,,3,,18,,"Buffalo, NY
(42.88544430100046, -78.87845781999965)",
"Washington, D.C.",2014,1,99,,63,,29,,6,,,-,1,,14,,"Washington, D.C.
(38.89510854700046, -77.03636591599968)",
"Chattanooga, TN",2014,1,70,,51,,15,,4,,,-,,-,8,,"Chattanooga, TN
(35.046441350000464, -85.30945730199966)",
"New Bedford, MA",2014,1,25,,16,,7,,2,,,-,,-,2,,"New Bedford, MA
(41.637672961000476, -70.93086932199964)",
"Schenectady, NY",2014,1,28,,20,,7,,,-,1,,,-,4,,"Schenectady, NY
(42.8122530060005, -73.94101987199963)",
"Kansas City, KS",2014,1,24,,12,,7,,3,,,-,2,,3,,"Kansas City, KS
(39.11352011100047, -94.6268190079997)",
"St. Paul, MN",2014,1,66,,43,,16,,3,,,-,4,,9,,"St. Paul, MN
(44.9438177180005, -93.09331667699968)",
"Albany, NY",2014,1,49,,35,,13,,,-,1,,,-,4,,"Albany, NY
(42.65155193300046, -73.75520562899965)",
"Albuquerque, NM",2014,1,104,,82,,17,,4,,1,,,-,7,,"Albuquerque, NM
(35.08418033400045, -106.64863657599966)",
"El Paso, TX",2014,1,46,,32,,11,,2,,1,,,-,,-,"El Paso, TX
(31.759161618000462, -106.4874888869997)",
"Norfolk, VA",2014,1,63,,37,,20,,4,,2,,,-,2,,"Norfolk, VA
(36.84682304600045, -76.28505728799968)",
"Las Vegas, NV",2014,1,404,,277,,94,,25,,3,,5,,27,,"Las Vegas, NV
(36.17191159200047, -115.13996564999968)",
"Charlotte, NC",2014,1,136,,82,,33,,14,,2,,5,,5,,"Charlotte, NC
(35.22286327700044, -80.83795956899968)",
"Columbus, OH",2014,1,160,,95,,48,,12,,2,,3,,9,,"Columbus, OH
(39.96199068800047, -83.00274798399965)",
"Waterbury, CT",2014,1,31,,24,,5,,1,,1,,,-,3,,"Waterbury, CT
(41.55407106600046, -73.04616830899965)",
"Toledo, OH",2014,1,82,,56,,19,,2,,2,,3,,6,,"Toledo, OH
(41.65381363300048, -83.53625660699964)",
"Dayton, OH",2014,1,116,,84,,19,,5,,4,,4,,8,,"Dayton, OH
(39.75911127900048, -84.19443785699968)",
"Lexington, KY",2014,1,40,,27,,11,,2,,,-,,-,2,,"Lexington, KY
(38.04859302400047, -84.50031565799964)",
"Philadelphia, PA",2014,1,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.95228127500047, -75.16244984999963)",
"Spokane, WA",2014,1,71,,47,,17,,4,,1,,2,,5,,"Spokane, WA
(47.65725947700048, -117.41227666799972)",
"Tampa, FL",2014,1,103,,69,,21,,11,,1,,1,,13,,"Tampa, FL
(27.946532922000472, -82.45926644299965)",
